Scheme_Name,Description,Type,Who_Can_Apply,Official_Link
Prime Minister Employment Generation Programme (PMEGP),"The scheme is implemented by Khadi and Village
Industries Commission (KVIC) as the nodal
agency at the national level. At the state level, the
scheme is implemented through State KVIC
Directorates, State Khadi and Village Industries
Boards (KVIBs) and District Industries Centres
(DICs) and banks. The Government subsidy
under the scheme is routed by KVIC through the
identified banks for eventual distribution to the
beneficiaries/entrepreneurs into their bank
accounts.
",Finance,"Micro, Medium & Small Enterprises — Micro, Medium & Small Enterprises | Any individual above 18 years; 10th pass for manufacturing sector; self-help groups, institutions, and co-operatives eligible. | Any individual above 18 years of age can apply. The beneficiary must have passed at least VIII standard for projects costing above Rs.10 lakh in the manufacturing sector, and above Rs.5 lakh in the business/service sector. Only new projects are considered for sanction under PMEGP. SHGs (including those belonging to BPL, provided that they have not availed benefits under any other scheme), Institutions registered under Societies Registration Act, 1860; Production Co-operative Societies, and Charitable Trusts are also eligible. Existing units (under PMRY, REGP or any other scheme of Government of India or State Government) and units that have already availed Government subsidy under any other scheme of Government of India or State Government are not eligible.",https://msme.gov.in/11-prime-ministers-employment-generation-programme-pmegp | https://www.kviconline.gov.in/pmegpeportal/jsp/pmegponline.jsp
Credit Guarantee Scheme (CGTMSE),"Ministry of Micro, Small and Medium Enterprises, GoI and Small Industries Development Bank of India (SIDBI), established a Trust named Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE) to implement Credit Guarantee Fund Scheme for Micro and Small Enterprises. The corpus of CGTMSE is being contributed by GoI and SIDBI.",Finance,"Micro & Small Enterprises — Micro & Small Enterprises | New or existing micro and small enterprises engaged in manufacturing or services, without collateral security or third-party guarantee. | Both existing and new enterprises are eligible under the scheme.",https://www.cgtmse.in/ | https://www.cgtmse.in/
Interest Subsidy Eligibility Certificate (ISEC),"Credit at a concessional rate of
interest of 4% per annum for working
capital
The Central Government through
KVIC pays difference between the
actual lending rate and 4% to the
lending banks
",Finance,Khadi institutions — Khadi institutions | All Khadi institutions registered with KVIC/KVIB are eligible to avail of the scheme. |,https://msme.gov.in/sites/default/files/ISEC-Guideline.pdf | https://kviconline.gov.in/
Market Promotion & Development Scheme (MPDA),"Modified MDA (MMDA) shall be allowed
@30% on the prime cost of Khadi (cotton,
silk, woolen) and Polyvastra",Marketing,"Khadi institutions having valid
Khadi certificate and
categorized as A+, A, B and C — Khadi institutions having valid
Khadi certificate and
categorized as A+, A, B and C | Institutions having valid Khadi Certificate and engaged in Khadi or village industries production. |",https://msme.gov.in/sites/default/files/Khadi_MPDA_Guidelines.pdf | https://msme.gov.in/sites/default/files/Khadi_MPDA_Guidelines.pdf
"Revamped Scheme of
Fund for Regeneration
Of Traditional
Industries (SFURTI)","The main objectives of the scheme are to: • To organize the traditional industries and artisans into clusters to make them, competitive and provide support for their long term sustainability • To provide sustained employment for traditional Industry artisans and rural entrepreneurs; • To enhance marketability of products of such clusters by providing support for new products, design intervention and improved packaging and also the improvement of marketing Infrastructure; • To equip traditional artisans of the associated clusters with the improved skills and capabilities through training and exposure visits; • To make provision for common facilities and improved tools and equipments for artisans; • To strengthen the cluster governance systems 8. Revamped Scheme of Fund for Regeneration ofTraditional Industries(SFURTI) Related scheme Revamped Scheme ofFund forRegeneration ofTraditionalIndustries(SFURTI) 60 with the active participation of the stakeholders, so that they are able to gauge the emerging challenges and opportunities and respond to them in a coherent manner; • To build up innovative and traditional skills, improved technologies, advanced processes, market intelligence and new models of public-private partnerships, so as to gradually replicate similar models of clusterbased regenerated traditional Industries.",Technology,"NGOs, Institutions of the
Central, State and, SemiGovernment
 Field functionaries of
State and Central Govt.,
Panchayati Raj Institutions
(PRIs)
 Similar agencies as above,
with suitable expertise to
undertake cluster
development.
 — NGOs, Institutions of the
Central, State and, SemiGovernment
 Field functionaries of
State and Central Govt.,
Panchayati Raj Institutions
(PRIs)
 Similar agencies as above,
with suitable expertise to
undertake cluster
development.
 | Existing artisan clusters engaged in traditional industries; NGOs, co-operatives, institutions can apply. | Non-Government organizations (NGOs), Institutions of the Central and State Governments and, Semi-Government institutions, field functionaries of State and Central Govt., 61 Panchayati Raj institutions (PRIs), etc with suitable expertise to undertake cluster development.",https://msme.gov.in/sites/default/files/Revised%20SFURTI%20Guidelines-2020%20%286.3.20%29.pdf | https://sfurti.msme.gov.in/
Coir Industry Technology Upgradation Scheme (CITUS),This is a credit linked subsidy scheme for setting up of coir units with project cost up to Rs.10 lakh plus one cycle of working capital which shall not exceed 25% of the project cost. Working capital will not be considered for subsidy.,Technology,"Entrepreneurs/Coir Units — Entrepreneurs/Coir Units | Existing and new coir units registered with Coir Board; entrepreneurs, SHGs, NGOs, and coir co-operatives eligible. | Individuals, Companies, Self Help Groups, Non Governmental Organizations, Institutions registered under Societies Registration Act 1860, Production Co-operative Societies, Joint Liability Groups and Charitable Trust.",https://msme.gov.in/sites/default/files/Revised_Operation_Guidelines_of_CVY.pdf | https://coirboard.gov.in/
Science & Technology (S&T) for Coir,"The Scheme envisages extension of the fruit of the research at the laboratory level for application at the field level and extension of testing and service facility. The Research and Development activities of the Board are carried out through the twin research institutes; the Central Coir Research Institute, Kalavoor and Central Institute of Coir Technology, Bangalore.",Technology,"The Central Coir Research
Institute, Kalavoor and Central
Institute of Coir Technology,
Bangalore — The Central Coir Research
Institute, Kalavoor and Central
Institute of Coir Technology,
Bangalore | Research institutions, universities, and coir units for development and modernization of coir industry. | The research outcomes are beneficial to the coir industry and trade in India and abroad",https://msme.gov.in/sites/default/files/Revised_Operation_Guidelines_of_CVY.pdf | https://coirboard.gov.in/
Skill Upgradation & Mahila Coir Yojana (MCY),"Skill Upgradation & Mahila Coir Yojana (MCY)
is one of the key schemes under the Scheme Coir
Vikas Yojana earlier it was known as Coir
Plan(General) scheme which provides
development of domestic and export markets,
skill development and training, empowerment of
women, employment/entrepreneurship creation
and development, enhanced raw material
utilization, trade related services, welfare
activities for the coir workers, etc. Mahila Coir
Yojana (MCY), in particular, aims at women    
empowerment through the provision of spinning
equipment at subsidised rates after appropriate
skill development training.
",Skill Development,"Coir artisans and workers
engaged in the coir industry — Coir artisans and workers
engaged in the coir industry | Women artisans and unemployed youth interested in coir production. |",https://msme.gov.in/sites/default/files/Revised_Operation_Guidelines_of_CVY.pdf | https://coirboard.gov.in/
Export Market Promotion (EMP),"Coir Board is implementing the Central Sector Scheme of Export Market Promotion with a view
to improve the export performance of Indian Coir
Sector through various export market promotion
activities such as sponsoring delegations,
participation in seminars and conferences,
organising participation in international fairs,
undertaking generic publicity abroad, extending
financial assistance to Micro, Small and Medium
Enterprises and Exporters, presenting Coir
Industry Awards on an annual basis to recognize
the outstanding performance in the areas of
export, domestic trade, R&D, functioning of units
& societies etc.",Marketing,"Manufacturers, Entrepreneurs
and Exporters of Coir
 — Manufacturers, Entrepreneurs
and Exporters of Coir
 | Coir exporters registered with Coir Board. | Manufacturers, Entrepreneurs and Exporters of Coir",https://msme.gov.in/sites/default/files/Revised_Operation_Guidelines_of_CVY.pdf | https://coirboard.gov.in/
Domestic Market Promotion (DMP),"Domestic Market Promotion is one of the major functions envisaged under the Coir Industry Act 1953, Under the Scheme the Board is undertaking various measures for popularizing coir and coir products and expanding the domestic market. The following activities are undertaken by the Board for the purpose. I. Establishment and Maintenance of Showrooms & Sales Depots. II. Participation in Domestic Exhibitions.",Marketing,"Apex Co-operative Societies,
Central Co-op. Societies,
Primary Co-operative
Societies, Public Sector
Enterprises, franchisees
appointed by Coir Board in the
coir industry and the
Showroom and Sales Depots /
Hindustan Coir of the Coir
Board.
 — Apex Co-operative Societies,
Central Co-op. Societies,
Primary Co-operative
Societies, Public Sector
Enterprises, franchisees
appointed by Coir Board in the
coir industry and the
Showroom and Sales Depots /
Hindustan Coir of the Coir
Board.
 | Coir cooperatives, SHGs, and registered coir enterprises engaged in domestic sales. | Apex societies, Central Co-operative societies, primary Co-operatives, Public Sector Enterprises, Showrooms & Sales Depots of the Board.",https://msme.gov.in/sites/default/files/Revised_Operation_Guidelines_of_CVY.pdf | https://coirboard.gov.in/
